Country,Year,Number below $3 a day
Sub-Saharan Africa (PIP),2013,451615022
Sub-Saharan Africa (PIP),2014,455073439
Sub-Saharan Africa (PIP),2015,468256849
Sub-Saharan Africa (PIP),2016,479622833
Sub-Saharan Africa (PIP),2017,488967767
Sub-Saharan Africa (PIP),2018,498072727
Sub-Saharan Africa (PIP),2019,509610142
Sub-Saharan Africa (PIP),2020,540378070
Sub-Saharan Africa (PIP),2021,552800184
Sub-Saharan Africa (PIP),2022,558768920
Sub-Saharan Africa (PIP),2023,569284088
Sub-Saharan Africa (PIP),2024,582708012
Sub-Saharan Africa (PIP),2025,587171314
Sudan,2009,4524854
Sudan,2014,3921138
Suriname,2022,13573
Suriname (urban),1999,63845
Sweden,1975,40879
Sweden,1981,41508
Sweden,1987,20680
Sweden,1992,21108
Sweden,1995,44134
Sweden,2000,22142
Sweden,2001,22122
Sweden,2002,0
Sweden,2003,31680
Sweden,2004,40864
Sweden,2005,102783
Sweden,2006,37491
Sweden,2007,41843
Sweden,2008,60764
Sweden,2009,49008
Sweden,2010,59901
Sweden,2011,62182
Sweden,2012,45193
Sweden,2013,62486
Sweden,2014,51032
Sweden,2015,63615
Sweden,2016,41936
Sweden,2017,26703
Sweden,2018,87343
Sweden,2019,37014
Sweden,2020,46720
Sweden,2021,67023
Sweden,2022,133341
Switzerland,1982,44573
Switzerland,1992,49913
Switzerland,2000,17306
Switzerland,2002,0
Switzerland,2004,17650
Switzerland,2006,5694
Switzerland,2007,5353
Switzerland,2008,5992
Switzerland,2009,2947
Switzerland,2010,5575
Switzerland,2011,832
Switzerland,2012,717
Switzerland,2013,3412
Switzerland,2014,2683
Switzerland,2015,2530
Switzerland,2016,3761
Switzerland,2017,1845
Switzerland,2018,3002
Switzerland,2019,1491
Switzerland,2020,6092
Switzerland,2021,3320
Syria,1996,177836
Syria,2003,83303
Syria,2006,0
Syria,2009,0
Syria,2022,3699589
Taiwan,1981,42870
Taiwan,1986,0
Taiwan,1991,0
Taiwan,1995,106037
Taiwan,1997,0
Taiwan,2000,0
Taiwan,2005,0
Taiwan,2007,0
Taiwan,2010,55765
Taiwan,2013,58177
Taiwan,2016,0
Taiwan,2017,0
Taiwan,2018,0
Taiwan,2019,0
Taiwan,2020,0
Taiwan,2021,0
Tajikistan,1999,4939200
Tajikistan,2003,3747088
Tajikistan,2004,2546867
Tajikistan,2007,1744223
Tajikistan,2009,1180394
Tajikistan,2015,1152246
Tanzania,1991,20129508
Tanzania,2000,30054013
Tanzania,2007,25638296
Tanzania,2011,24253716
Tanzania,2018,29418882
Thailand,1981,14438049
Thailand,1988,14146590
Thailand,1990,11523333
Thailand,1992,9165998
Thailand,1994,5389121
Thailand,1996,3849753
Thailand,1998,3517220
Thailand,1999,5183673
Thailand,2000,5313047
Thailand,2002,2993863
Thailand,2004,2024490
Thailand,2006,1477142
Thailand,2007,861372
Thailand,2008,670489
Thailand,2009,535168
Thailand,2010,485965
Thailand,2011,209165
Thailand,2012,269296
Thailand,2013,148501
Thailand,2014,160669
Thailand,2015,93030
Thailand,2016,97672
Thailand,2017,71236
Thailand,2018,75970
Thailand,2019,96293
Thailand,2020,45165
Thailand,2021,20515
Thailand,2022,28353
Thailand,2023,3472
Togo,2006,4066215
Togo,2011,4529897
Togo,2015,4727987
Togo,2018,2947039
Togo,2021,3123500
Tonga,2000,4718
Tonga,2009,3902
Tonga,2015,4233
Tonga,2021,431
Trinidad and Tobago,1988,7208
Trinidad and Tobago,1992,41177
Tunisia,1985,1601058
Tunisia,1990,1356479
Tunisia,1995,1590120
Tunisia,2000,1026490
Tunisia,2005,606908
Tunisia,2010,338400
Tunisia,2015,75342
Tunisia,2021,78910
Turkey,1987,4763857
Turkey,1994,6034601
Turkey,2002,5113752
Turkey,2003,6795651
Turkey,2004,4516098
Turkey,2005,4535608
Turkey,2006,3379596
Turkey,2007,2783434
Turkey,2008,2323512
Turkey,2009,2145313
Turkey,2010,2058100
Turkey,2011,1481880
Turkey,2012,1279614
Turkey,2013,1156201
Turkey,2014,785837
Turkey,2015,1042505
Turkey,2016,710398
Turkey,2017,903804
Turkey,2018,810846
Turkey,2019,1054772
Turkey,2020,951497
Turkey,2021,795167
Turkey,2022,450036
Turkmenistan,1998,1547023
Tuvalu,2010,954
Uganda,1989,12378685
Uganda,1992,15128268
Uganda,1996,16774894
Uganda,1999,19076407
Uganda,2002,20294353
Uganda,2005,20444911
Uganda,2009,20226027
Uganda,2012,19537260
Uganda,2016,23734551
Uganda,2019,26264740
Ukraine,1992,4224711
Ukraine,1993,2675949
Ukraine,1995,7490470
Ukraine,1996,7806232
Ukraine,2002,3045476
Ukraine,2003,1564255
Ukraine,2004,1339625
Ukraine,2005,530169
Ukraine,2006,315389
Ukraine,2007,217322
Ukraine,2008,59595
Ukraine,2009,147808
Ukraine,2010,62130
Ukraine,2011,32854
Ukraine,2012,63208
Ukraine,2013,24430
Ukraine,2014,12130
Ukraine,2015,125030
Ukraine,2016,113620
Ukraine,2017,37850
Ukraine,2018,106736
Ukraine,2019,80958
Ukraine,2020,15087
United Arab Emirates,2013,0
United Arab Emirates,2018,0
United Kingdom,1968,123012
United Kingdom,1969,135144
United Kingdom,1970,130494
United Kingdom,1971,0
United Kingdom,1972,129036
United Kingdom,1973,0
United Kingdom,1974,134035
United Kingdom,1975,133169
United Kingdom,1976,0
United Kingdom,1977,137495
United Kingdom,1978,0
United Kingdom,1979,0
United Kingdom,1980,0
United Kingdom,1981,0
United Kingdom,1982,132886
United Kingdom,1983,0
United Kingdom,1984,139782
United Kingdom,1985,123248
United Kingdom,1986,139821
United Kingdom,1987,0
United Kingdom,1988,129057
United Kingdom,1989,132317
United Kingdom,1990,125285
United Kingdom,1991,129928
United Kingdom,1992,138242
United Kingdom,1993,139200
United Kingdom,1994,142713
United Kingdom,1995,143389
United Kingdom,1996,143304
United Kingdom,1997,144189
United Kingdom,1998,143620
United Kingdom,1999,145845
United Kingdom,2000,146575
United Kingdom,2001,146576
United Kingdom,2002,148073
United Kingdom,2003,149043
United Kingdom,2004,149830
United Kingdom,2005,148979
United Kingdom,2006,140033
United Kingdom,2007,149489
United Kingdom,2008,152586
United Kingdom,2009,155023
United Kingdom,2010,154626
United Kingdom,2011,156443
United Kingdom,2012,314782
United Kingdom,2013,156767
United Kingdom,2014,159116
United Kingdom,2015,162300
United Kingdom,2016,163486
United Kingdom,2017,164682
United Kingdom,2018,331293
United Kingdom,2019,332871
United Kingdom,2020,334959
United Kingdom,2021,334000
United States,1963,2836004
United States,1964,2874400
United States,1965,2427521
United States,1966,2439679
United States,1967,1984094
United States,1968,2005390
United States,1969,1515863
United States,1970,2047596
United States,1971,2072262
United States,1972,1571411
United States,1973,1588394
United States,1974,1597831
United States,1975,1611719
United States,1976,1622950
United States,1977,1100092
United States,1978,1667132
United States,1979,1687023
United States,1980,1135032
United States,1981,1145665
United States,1982,1732224
United States,1983,1750567
United States,1984,1767208
United States,1985,1783612
United States,1986,1793422
United States,1987,1209680
United States,1988,1220549
United States,1989,1232124
United States,1990,1240984
United States,1991,1263355
United States,1992,1277182
United States,1993,1945153
United States,1994,1965866
United States,1995,1991054
United States,1996,2016536
United States,1997,2042369
United States,1998,2065689
United States,1999,2087376
United States,2000,2115076
United States,2001,2844775
United States,2002,2874840
United States,2003,2893594
United States,2004,2927708
United States,2005,2954374
United States,2006,2979787
United States,2007,3011243
United States,2008,3040177
United States,2009,3065832
United States,2010,3860593
United States,2011,3112645
United States,2012,3134005
United States,2013,3146262
United States,2014,3976476
United States,2015,4006633
United States,2016,4031721
United States,2017,4063776
United States,2018,3267702
United States,2019,3280576
United States,2020,1656369
United States,2021,1647926
United States,2022,4163179
United States,2023,4185546
Uruguay,2006,33711
Uruguay,2007,24416
Uruguay,2008,13547
Uruguay,2009,14501
Uruguay,2010,9677
Uruguay,2011,8169
Uruguay,2012,8989
Uruguay,2013,10247
Uruguay,2014,7100
Uruguay,2015,7288
Uruguay,2016,4237
Uruguay,2017,3983
Uruguay,2018,3063
Uruguay,2019,4475
Uruguay,2020,9402
Uruguay,2021,5242
Uruguay,2022,8146
Uruguay,2023,5739
Uruguay (urban),1981,0
Uruguay (urban),1989,28575
Uruguay (urban),1992,24456
Uruguay (urban),1995,24404
Uruguay (urban),1996,25094
Uruguay (urban),1997,21739
Uruguay (urban),1998,26075
Uruguay (urban),2000,26419
Uruguay (urban),2001,21340
Uruguay (urban),2002,34037
Uruguay (urban),2003,47194
Uruguay (urban),2004,51706
Uruguay (urban),2005,46683
Uzbekistan,2021,1497690
Uzbekistan,2022,1534847
Uzbekistan,2023,1449721
Vanuatu,2010,61257
Vanuatu,2019,57206
Venezuela,1981,1778312
Venezuela,1987,2259821
Venezuela,1989,1405498
Venezuela,1992,1430626
Venezuela,1995,3361090
Venezuela,1998,3508273
Venezuela,1999,4020252
Venezuela,2001,3681654
Venezuela,2002,5630717
Venezuela,2003,7021147
Venezuela,2004,5995138
Venezuela,2005,4851413
Venezuela,2006,2644078
Vietnam,1992,39812316
Vietnam,1997,28690268
Vietnam,2002,34114970
Vietnam,2004,24788179
Vietnam,2006,19507537
Vietnam,2008,14949531
Vietnam,2010,4562442
Vietnam,2012,3331495
Vietnam,2014,3129584
Vietnam,2016,2356878
Vietnam,2018,2159154
Vietnam,2020,1277730
Vietnam,2022,1598239
Western and Central Africa (PIP),1990,128690187
Western and Central Africa (PIP),1991,134920043
Western and Central Africa (PIP),1992,140810974
Western and Central Africa (PIP),1993,145772486
Western and Central Africa (PIP),1994,150461662
Western and Central Africa (PIP),1995,155237117
Western and Central Africa (PIP),1996,158661829
Western and Central Africa (PIP),1997,160848058
Western and Central Africa (PIP),1998,163163964
Western and Central Africa (PIP),1999,166256065
Western and Central Africa (PIP),2000,169240942
Western and Central Africa (PIP),2001,169732394
Western and Central Africa (PIP),2002,168005007
Western and Central Africa (PIP),2003,169158493
Western and Central Africa (PIP),2004,167713039
Western and Central Africa (PIP),2005,169258926
Western and Central Africa (PIP),2006,170702954
Western and Central Africa (PIP),2007,172523563
Western and Central Africa (PIP),2008,171029604
Western and Central Africa (PIP),2009,172112833
Western and Central Africa (PIP),2010,168712811
Western and Central Africa (PIP),2011,169845750
Western and Central Africa (PIP),2012,167474552
Western and Central Africa (PIP),2013,166302609
Western and Central Africa (PIP),2014,163695682
Western and Central Africa (PIP),2015,167990423
Western and Central Africa (PIP),2016,167215271
Western and Central Africa (PIP),2017,163078892
Western and Central Africa (PIP),2018,159221298
Western and Central Africa (PIP),2019,157278573
Western and Central Africa (PIP),2020,166821607
Western and Central Africa (PIP),2021,167850972
Western and Central Africa (PIP),2022,167899271
Western and Central Africa (PIP),2023,169752185
Western and Central Africa (PIP),2024,170878952
Western and Central Africa (PIP),2025,170951149
World,1990,2311715314
World,1991,2333702239
World,1992,2335813343
World,1993,2346263931
World,1994,2302824800
World,1995,2254442023
World,1996,2212457274
World,1997,2223503793
World,1998,2267032104
World,1999,2267046162
World,2000,2234216002
World,2001,2206247299
World,2002,2140189514
World,2003,2071744082
World,2004,1973129087
World,2005,1869258094
World,2006,1799912862
World,2007,1709548087
World,2008,1650182760
World,2009,1595480025
World,2010,1469582602
World,2011,1356575311
World,2012,1281609742
World,2013,1124795435
World,2014,1061817823
World,2015,992553970
World,2016,939648527
World,2017,892640611
World,2018,851195733
World,2019,831671549
World,2020,881585604
World,2021,868738277
World,2022,838016467
World,2023,821735818
World,2024,816740083
World,2025,808206176
World (excluding China),1990,1369148832
World (excluding China),1991,1395644876
World (excluding China),1992,1414159507
World (excluding China),1993,1441721488
World (excluding China),1994,1450579001
World (excluding China),1995,1452436485
World (excluding China),1996,1457549267
World (excluding China),1997,1477741251
World (excluding China),1998,1528033599
World (excluding China),1999,1535054146
World (excluding China),2000,1539718688
World (excluding China),2001,1548988625
World (excluding China),2002,1523734114
World (excluding China),2003,1512890376
World (excluding China),2004,1474411870
World (excluding China),2005,1437747281
World (excluding China),2006,1398837276
World (excluding China),2007,1341700088
World (excluding China),2008,1302562326
World (excluding China),2009,1280602398
World (excluding China),2010,1194194156
World (excluding China),2011,1145447569
World (excluding China),2012,1102288570
World (excluding China),2013,1039925028
World (excluding China),2014,996729671
World (excluding China),2015,951438015
World (excluding China),2016,909141505
World (excluding China),2017,869390796
World (excluding China),2018,840039515
World (excluding China),2019,831671577
World (excluding China),2020,881585568
World (excluding China),2021,868738337
World (excluding China),2022,838016421
World (excluding China),2023,821735848
World (excluding China),2024,816740097
World (excluding China),2025,808206135
World (excluding India),1990,1884572711
World (excluding India),1991,1897860927
World (excluding India),1992,1895693005
World (excluding India),1993,1903478967
World (excluding India),1994,1855993315
World (excluding India),1995,1799492578
World (excluding India),1996,1750412732
World (excluding India),1997,1751674835
World (excluding India),1998,1785914158
World (excluding India),1999,1779525629
World (excluding India),2000,1737796867
World (excluding India),2001,1700067085
World (excluding India),2002,1623739691
World (excluding India),2003,1547957326
World (excluding India),2004,1443599510
World (excluding India),2005,1348277647
World (excluding India),2006,1302650346
World (excluding India),2007,1237129808
World (excluding India),2008,1185013160
World (excluding India),2009,1151676918
World (excluding India),2010,1076535218
World (excluding India),2011,997050510
World (excluding India),2012,949371887
World (excluding India),2013,823146450
World (excluding India),2014,796773907
World (excluding India),2015,767284710
World (excluding India),2016,753329963
World (excluding India),2017,736325394
World (excluding India),2018,717810097
World (excluding India),2019,714148591
World (excluding India),2020,748908533
World (excluding India),2021,756699916
World (excluding India),2022,749882750
World (excluding India),2023,753820729
World (excluding India),2024,762044259
World (excluding India),2025,763820019
Yemen,1998,2849329
Yemen,2005,4907224
Yemen,2014,10065510
Zambia,1991,5027171
Zambia,1993,5615468
Zambia,1996,5047689
Zambia,1998,5369289
Zambia,2002,7428029
Zambia,2004,7991321
Zambia,2006,8885505
Zambia,2010,9966852
Zambia,2015,11133807
Zambia,2022,14440819
Zimbabwe,2011,4855877
Zimbabwe,2017,6614791
Zimbabwe,2019,7516551
